chunk_index,document_name,content,chapter_title,section_title,subsection_title,subsubsection_title,header_path,source_markdown,source_document,source_type,source_pdf,embedding_model,vector_dimensions
0,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > BỘ GIAO THÔNG VẬN TẢI TRƯỜNG ĐH GIAO THÔNG VẬN TẢI TP. HỒ CHÍ MINH
CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM
Độc lập - Tự do - Hạnh phúc",BỘ GIAO THÔNG VẬN TẢI TRƯỜNG ĐH GIAO THÔNG VẬN TẢI TP. HỒ CHÍ MINH,,,,Mạng máy tính và truyền thông dữ liệu > BỘ GIAO THÔNG VẬN TẢI TRƯỜNG ĐH GIAO THÔNG VẬN TẢI TP. HỒ CHÍ MINH,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
1,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Tên chương trình đào tạo (tiếng Việt):
Mạng máy tính và truyền thông dữ liệu",I. GIỚI THIỆU CHƯƠNG TRÌNH,1. Giới thiệu chung,Tên chương trình đào tạo (tiếng Việt):,,Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Tên chương trình đào tạo (tiếng Việt):,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
2,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Tên chương trình đào tạo (tiếng Anh):
Computer networks and Data communication",I. GIỚI THIỆU CHƯƠNG TRÌNH,1. Giới thiệu chung,Tên chương trình đào tạo (tiếng Anh):,,Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Tên chương trình đào tạo (tiếng Anh):,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
3,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Trình độ đào tạo:
Đại học chính quy",I. GIỚI THIỆU CHƯƠNG TRÌNH,1. Giới thiệu chung,Trình độ đào tạo:,,Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Trình độ đào tạo:,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
4,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Mã ngành đào tạo:
7480102",I. GIỚI THIỆU CHƯƠNG TRÌNH,1. Giới thiệu chung,Mã ngành đào tạo:,,Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Mã ngành đào tạo:,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
5,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Loại hình đào tạo:
Đại trà",I. GIỚI THIỆU CHƯƠNG TRÌNH,1. Giới thiệu chung,Loại hình đào tạo:,,Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Loại hình đào tạo:,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
6,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Thời gian đào tạo:
4 năm",I. GIỚI THIỆU CHƯƠNG TRÌNH,1. Giới thiệu chung,Thời gian đào tạo:,,Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Thời gian đào tạo:,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
7,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Tổng số tín chỉ:
120 tín chỉ (Không bao gồm: Giáo dục Quốc phòng và An ninh, Giáo dục thể chất, kỹ năng mềm, kiến thức bổ trợ khác)",I. GIỚI THIỆU CHƯƠNG TRÌNH,1. Giới thiệu chung,Tổng số tín chỉ:,,Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Tổng số tín chỉ:,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
8,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 2. Mục tiêu đào tạo > 2.1. Mục tiêu chung
Chương trình đào tạo ngành Mạng máy tính và truyền thông dữ liệu được xây dựng và triển khai nhằm mục tiêu đào tạo cử nhân ngành Mạng máy tính và truyền thông dữ liệu trình độ cao, phục vụ yêu cầu phát triển kinh tế - xã hội Việt Nam, sự nghiệp công nghiệp hóa – hiện đại hóa đất nước, bảo vệ Tổ quốc với bản lĩnh chính trị vững vàng trong bối cảnh cách mạng công nghiệp 4.0, đáp ứng nhu cầu nguồn nhân lực trong lĩnh vực hệ thống kết nối và truyền thông dữ liệu cho xã hội nói chung và cho ngành Giao thông vận tải nói riêng, và hội nhập quốc tế.

Đào tạo người học ở trình độ cử nhân, có kiến thức chuyên môn toàn diện cả về lý thuyết lẫn thực tiễn, áp dụng các hiểu biết về nguyên lý, quy luật tự nhiên – xã hội, pháp luật, các kỹ năng thực hành cơ bản để quản lý, điều hành chuyên môn, có khả năng làm việc độc lập hoặc trong môi trường hoạt động nhóm một cách tự chủ, sáng tạo, có tinh thần khởi nghiệp nhằm khẳng định bản thân.",I. GIỚI THIỆU CHƯƠNG TRÌNH,2. Mục tiêu đào tạo,2.1. Mục tiêu chung,,Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 2. Mục tiêu đào tạo > 2.1. Mục tiêu chung,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
9,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 2. Mục tiêu đào tạo > 2.2. Mục tiêu cụ thể
Sinh viên sau khi tốt nghiệp có các khả năng:",I. GIỚI THIỆU CHƯƠNG TRÌNH,2. Mục tiêu đào tạo,2.2. Mục tiêu cụ thể,,Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 2. Mục tiêu đào tạo > 2.2. Mục tiêu cụ thể,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
